Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
Bitcoin,BTC,"$101,321.41",0.10%,1.54%,0.24%,"$2,007,638,026,744","$59,948,935,756","19,795,587 BTC"
Ethereum,ETH,"$3,917.93",0.05%,0.78%,3.88%,"$471,931,157,932","$36,260,164,545","120,445,820 ETH"
Tether,USDT,$1.00,0.00%,0.03%,0.16%,"$140,114,977,357","$145,484,982,329","140,090,579,705 USDT"
XRP,XRP,$2.42,0.03%,2.48%,1.93%,"$138,251,313,526","$10,058,239,187","57,187,870,382 XRP"
Solana,SOL,$223.25,0.51%,2.00%,6.99%,"$106,942,814,249","$4,181,423,855","479,020,412 SOL"
BNB,BNB,$728.24,1.26%,3.06%,1.46%,"$104,873,270,936","$2,446,362,390","144,008,456 BNB"
Dogecoin,DOGE,$0.4041,0.24%,0.12%,7.99%,"$59,472,508,076","$4,020,953,314","147,186,966,384 DOGE"
USDC,USDC,$0.9999,0.01%,0.02%,0.01%,"$41,634,229,145","$9,555,893,875","41,634,781,515 USDC"
Cardano,ADA,$1.10,0.66%,0.96%,10.09%,"$38,732,078,164","$1,423,873,758","35,112,728,715 ADA"
TRON,TRX,$0.2891,0.11%,2.34%,9.65%,"$24,932,875,222","$1,656,176,386","86,245,447,749 TRX"
Avalanche,AVAX,$51.44,0.82%,1.78%,2.23%,"$21,076,020,353","$1,060,164,968","409,690,811 AVAX"
Chainlink,LINK,$28.11,0.92%,3.89%,12.79%,"$17,620,344,009","$3,084,209,889","626,849,970 LINK"
Shiba Inu,SHIB,$0.00002821,0.62%,0.64%,9.44%,"$16,622,025,489","$907,805,473","589,255,609,651,633 SHIB"
Toncoin,TON,$6.28,0.54%,0.56%,8.08%,"$16,011,657,906","$280,234,732","2,551,004,819 TON"
Sui,SUI,$4.75,0.78%,3.75%,12.59%,"$13,913,974,146","$2,125,825,745","2,927,660,019 SUI"
Polkadot,DOT,$9.04,1.32%,0.38%,15.52%,"$13,821,095,559","$679,382,022","1,528,484,356 DOT"
Stellar,XLM,$0.4343,0.68%,2.42%,10.35%,"$13,105,378,103","$751,892,477","30,177,017,841 XLM"
Hedera,HBAR,$0.3116,0.95%,5.23%,4.15%,"$11,911,021,607","$1,590,762,047","38,228,257,744 HBAR"
Bitcoin Cash,BCH,$537.95,1.04%,0.79%,15.61%,"$10,652,178,087","$463,692,396","19,801,431 BCH"
Uniswap,UNI,$17.30,0.51%,1.59%,4.20%,"$10,391,186,707","$575,775,333","600,483,074 UNI"
Pepe,PEPE,$0.00002458,1.16%,4.71%,11.12%,"$10,342,079,441","$2,535,886,864","420,689,899,999,995 PEPE"
Litecoin,LTC,$120.72,1.16%,1.05%,12.00%,"$9,090,772,254","$1,095,230,381","75,302,025 LTC"
