Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
1,Bitcoin,BTC,"$101,348.57",0.16%,0.69%,0.17%,"$2,006,572,271,446","$62,685,630,833","19,795,587 BTC"
2,Ethereum,ETH,"$3,919.42",0.10%,0.09%,3.56%,"$471,546,858,706","$38,149,088,369","120,445,820 ETH"
3,Tether,USDT,$1.00,0.01%,0.01%,0.11%,"$140,101,316,621","$152,052,002,109","140,090,579,705 USDT"
4,XRP,XRP,$2.41,0.49%,0.47%,2.69%,"$137,847,883,864","$10,647,429,903","57,187,870,382 XRP"
5,Solana,SOL,$222.17,0.33%,3.98%,7.39%,"$106,425,203,360","$4,408,000,625","479,021,002 SOL"
6,BNB,BNB,$719.20,0.20%,0.34%,2.90%,"$103,570,672,189","$2,449,281,815","144,008,457 BNB"
7,Dogecoin,DOGE,$0.4012,1.65%,3.10%,8.86%,"$59,055,649,956","$4,161,547,650","147,186,686,384 DOGE"
8,USDC,USDC,$0.9999,0.00%,0.01%,0.03%,"$41,624,730,652","$10,140,981,518","41,626,133,675 USDC"
9,Cardano,ADA,$1.10,0.28%,4.57%,10.37%,"$38,528,633,409","$1,554,825,544","35,112,728,715 ADA"
10,TRON,TRX,$0.2893,0.49%,5.46%,9.09%,"$24,949,845,737","$1,816,107,266","86,245,447,749 TRX"
11,Avalanche,AVAX,$51.08,0.42%,4.47%,3.48%,"$20,928,826,039","$1,152,098,520","409,690,804 AVAX"
12,Chainlink,LINK,$27.81,0.68%,0.14%,13.06%,"$17,433,052,444","$3,170,307,127","626,849,970 LINK"
13,Shiba Inu,SHIB,$0.00002799,0.34%,2.86%,9.77%,"$16,493,288,097","$982,819,908","589,255,609,651,633 SHIB"
14,Toncoin,TON,$6.24,0.04%,2.97%,8.57%,"$15,912,055,131","$294,135,934","2,551,004,819 TON"
15,Sui,SUI,$4.73,0.68%,1.30%,11.53%,"$13,833,635,377","$2,179,591,043","2,927,660,019 SUI"
