Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
1,Bitcoin,BTC,"$101,775.18",0.04%,0.13%,2.35%,"$2,014,485,999,170","$38,631,833,922","19,796,178 BTC",2024-12-15 09:40:33
2,Ethereum,ETH,"$3,851.82",0.17%,1.83%,2.73%,"$463,644,950,749","$28,207,390,475","120,448,516 ETH",2024-12-15 09:40:33
3,Tether,USDT,$0.9997,0.01%,0.02%,0.09%,"$140,211,507,492","$101,588,734,489","140,253,672,849 USDT",2024-12-15 09:40:33
4,XRP,XRP,$2.39,0.94%,3.17%,5.65%,"$136,828,928,682","$6,251,990,871","57,187,870,382 XRP",2024-12-15 09:40:33
5,Solana,SOL,$217.13,0.07%,3.91%,8.03%,"$104,039,537,775","$2,901,279,234","479,159,245 SOL",2024-12-15 09:40:33
6,BNB,BNB,$708.14,0.03%,2.52%,4.71%,"$101,977,367,499","$1,809,099,298","144,008,348 BNB",2024-12-15 09:40:33
7,Dogecoin,DOGE,$0.3964,0.16%,3.13%,13.87%,"$58,351,411,073","$3,182,290,253","147,207,796,384 DOGE",2024-12-15 09:40:33
8,USDC,USDC,$0.9999,0.01%,0.00%,0.01%,"$41,999,692,439","$6,182,553,864","42,003,444,475 USDC",2024-12-15 09:40:33
9,Cardano,ADA,$1.05,0.25%,5.48%,11.83%,"$37,014,204,950","$976,595,716","35,112,728,715 ADA",2024-12-15 09:40:33
10,TRON,TRX,$0.2782,0.25%,5.46%,11.73%,"$23,993,672,708","$1,091,863,149","86,243,965,926 TRX",2024-12-15 09:40:33
11,Avalanche,AVAX,$48.77,0.26%,7.70%,4.63%,"$19,980,063,251","$742,592,188","409,695,850 AVAX",2024-12-15 09:40:33
12,Chainlink,LINK,$28.69,0.59%,3.57%,12.22%,"$17,987,232,766","$2,012,331,302","626,849,970 LINK",2024-12-15 09:40:33
13,Shiba Inu,SHIB,$0.00002714,0.07%,4.68%,14.88%,"$15,990,485,753","$679,875,202","589,255,537,568,775 SHIB",2024-12-15 09:40:33
14,Toncoin,TON,$6.17,0.21%,2.71%,8.49%,"$15,735,342,124","$233,083,809","2,551,125,343 TON",2024-12-15 09:40:33
15,Polkadot,DOT,$8.49,0.46%,5.77%,18.11%,"$12,977,890,166","$534,479,460","1,528,709,870 DOT",2024-12-15 09:40:33
16,Sui,SUI,$4.39,0.42%,6.99%,4.85%,"$12,862,748,472","$1,242,770,639","2,927,660,019 SUI",2024-12-15 09:40:33
17,Stellar,XLM,$0.4233,0.58%,3.46%,12.49%,"$12,772,704,896","$463,876,818","30,177,015,563 XLM",2024-12-15 09:40:33
18,Hedera,HBAR,$0.2863,0.93%,5.90%,13.69%,"$10,947,717,391","$632,626,211","38,238,361,609 HBAR",2024-12-15 09:40:33
19,Bitcoin Cash,BCH,$529.26,0.96%,2.71%,12.95%,"$10,480,546,198","$407,322,907","19,802,100 BCH",2024-12-15 09:40:33
20,Uniswap,UNI,$16.41,0.75%,4.92%,10.40%,"$9,855,217,261","$582,487,790","600,483,074 UNI",2024-12-15 09:40:33
21,Pepe,PEPE,$0.00002295,0.65%,5.13%,6.94%,"$9,653,387,360","$1,619,883,904","420,689,899,999,995 PEPE",2024-12-15 09:40:33
22,Litecoin,LTC,$115.76,0.33%,6.00%,12.02%,"$8,717,711,587","$777,719,852","75,308,068 LTC",2024-12-15 09:40:33
23,UNUS SED LEO,LEO,$9.34,0.16%,1.15%,2.26%,"$8,631,654,707","$285,624","924,520,805 LEO",2024-12-15 09:40:33
24,NEAR Protocol,NEAR,$6.59,0.32%,4.25%,13.31%,"$8,028,381,899","$345,832,342","1,217,906,155 NEAR",2024-12-15 09:40:33
25,Aptos,APT,$13.15,0.39%,6.53%,8.14%,"$7,300,407,978","$333,280,032","554,989,747 APT",2024-12-15 09:40:33
26,Internet Computer,ICP,$12.74,0.13%,4.63%,10.77%,"$6,064,712,816","$190,303,033","475,879,553 ICP",2024-12-15 09:40:33
27,Ethena USDe,USDe,$1.00,0.00%,0.02%,0.08%,"$5,835,198,730","$85,711,367","5,828,782,772 USDe",2024-12-15 09:40:33
28,Aave,AAVE,$364.67,0.01%,5.07%,30.45%,"$5,475,096,462","$1,038,278,640","15,013,782 AAVE",2024-12-15 09:40:33
29,Dai,DAI,$0.9999,0.01%,0.01%,0.01%,"$5,365,052,816","$107,611,988","5,365,382,703 DAI",2024-12-15 09:40:33
30,POL (ex-MATIC),POL,$0.5919,0.15%,4.46%,13.83%,"$4,949,938,423","$234,474,549","8,362,817,479 POL",2024-12-15 09:40:33
31,Ethereum Classic,ETC,$32.63,0.02%,3.34%,10.73%,"$4,892,487,099","$362,579,329","149,951,575 ETC",2024-12-15 09:40:33
32,Cronos,CRO,$0.1758,0.25%,4.47%,11.72%,"$4,672,259,126","$36,945,647","26,571,560,696 CRO",2024-12-15 09:40:33
33,Render,RENDER,$8.94,0.13%,4.06%,11.71%,"$4,630,729,156","$432,691,768","517,690,759 RENDER",2024-12-15 09:40:33
34,VeChain,VET,$0.05575,0.10%,6.11%,15.89%,"$4,515,000,672","$102,155,451","80,985,041,177 VET",2024-12-15 09:40:33
35,Bitget Token,BGB,$2.97,0.01%,8.73%,8.10%,"$4,164,473,206","$206,642,796","1,400,000,000 BGB",2024-12-15 09:40:33
36,Artificial Superintelligence Alliance,FET,$1.69,0.22%,5.85%,17.06%,"$4,119,455,498","$283,127,564","2,436,109,048 FET",2024-12-15 09:40:33
37,Bittensor,TAO,$555.12,0.88%,4.84%,20.40%,"$4,097,295,812","$248,473,527","7,380,936 TAO",2024-12-15 09:40:33
38,Mantle,MNT,$1.21,0.07%,3.03%,0.34%,"$4,057,309,555","$110,148,408","3,366,841,708 MNT",2024-12-15 09:40:33
