Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,Market Cap,Volume,Circulating Supply,Extraction Time
1,Bitcoin,BTC,"$101,961.74",0.17%,0.30%,"$2,018,588,652,773","$38,685,319,432","19,796,178 BTC",2024-12-15 10:30:10
2,Ethereum,ETH,"$3,856.80",0.27%,-1.56%,"$464,505,945,762","$28,209,546,674","120,448,516 ETH",2024-12-15 10:30:10
3,Tether,USDT,$0.9997,-0.00%,-0.02%,"$140,204,960,921","$101,559,131,487","140,253,672,849 USDT",2024-12-15 10:30:10
4,XRP,XRP,$2.41,0.22%,-1.94%,"$137,723,714,497","$6,178,772,020","57,187,870,382 XRP",2024-12-15 10:30:10
5,Solana,SOL,$218.66,0.72%,-3.11%,"$104,771,309,486","$2,904,743,958","479,158,990 SOL",2024-12-15 10:30:10
6,BNB,BNB,$709.52,0.20%,-1.97%,"$102,176,535,429","$1,808,991,510","144,008,343 BNB",2024-12-15 10:30:10
7,Dogecoin,DOGE,$0.3981,0.48%,-2.19%,"$58,607,225,901","$3,200,455,970","147,208,376,384 DOGE",2024-12-15 10:30:10
8,USDC,USDC,$0.9999,0.01%,0.02%,"$42,003,645,148","$6,192,575,186","42,004,506,715 USDC",2024-12-15 10:30:10
9,Cardano,ADA,$1.07,1.35%,-3.46%,"$37,539,871,796","$977,966,665","35,112,728,715 ADA",2024-12-15 10:30:10
10,TRON,TRX,$0.2799,0.63%,-5.44%,"$24,140,858,103","$1,090,354,115","86,243,767,231 TRX",2024-12-15 10:30:10
11,Avalanche,AVAX,$49.43,1.67%,-7.31%,"$20,253,208,145","$749,819,664","409,695,871 AVAX",2024-12-15 10:30:10
12,Chainlink,LINK,$28.88,1.00%,-3.43%,"$18,104,748,441","$2,001,303,252","626,849,970 LINK",2024-12-15 10:30:10
13,Shiba Inu,SHIB,$0.00002738,0.96%,-3.31%,"$16,134,902,746","$679,403,794","589,255,537,568,775 SHIB",2024-12-15 10:30:10
14,Toncoin,TON,$6.19,0.36%,-2.29%,"$15,797,268,865","$233,013,197","2,551,129,613 TON",2024-12-15 10:30:10
15,Polkadot,DOT,$8.56,1.01%,-4.38%,"$13,079,993,744","$534,770,683","1,528,712,153 DOT",2024-12-15 10:30:10
16,Sui,SUI,$4.45,1.16%,-4.88%,"$13,014,545,391","$1,248,035,846","2,927,660,019 SUI",2024-12-15 10:30:10
17,Stellar,XLM,$0.4251,0.40%,-2.15%,"$12,827,258,962","$457,034,382","30,177,015,499 XLM",2024-12-15 10:30:10
18,Hedera,HBAR,$0.2889,0.96%,-4.89%,"$11,046,977,997","$632,108,993","38,238,361,609 HBAR",2024-12-15 10:30:10
19,Bitcoin Cash,BCH,$531.16,-0.03%,-2.01%,"$10,518,034,697","$416,849,306","19,802,100 BCH",2024-12-15 10:30:10
20,Uniswap,UNI,$16.48,0.64%,-4.10%,"$9,895,580,411","$592,414,038","600,483,074 UNI",2024-12-15 10:30:10
21,Pepe,PEPE,$0.00002325,1.34%,-3.00%,"$9,780,837,937","$1,620,972,381","420,689,899,999,995 PEPE",2024-12-15 10:30:10
22,Litecoin,LTC,$116.43,0.47%,-4.93%,"$8,768,294,297","$778,265,962","75,308,237 LTC",2024-12-15 10:30:10
23,UNUS SED LEO,LEO,$9.33,0.39%,-1.03%,"$8,625,338,727","$288,860","924,520,805 LEO",2024-12-15 10:30:10
24,NEAR Protocol,NEAR,$6.62,0.75%,-3.16%,"$8,058,558,848","$345,095,556","1,217,906,155 NEAR",2024-12-15 10:30:10
25,Aptos,APT,$13.31,1.05%,-5.50%,"$7,388,811,051","$338,990,365","554,989,717 APT",2024-12-15 10:30:10
26,Internet Computer,ICP,$12.78,1.03%,-3.70%,"$6,080,578,158","$191,506,173","475,879,800 ICP",2024-12-15 10:30:10
27,Ethena USDe,USDe,$1.00,-0.01%,-0.02%,"$5,834,376,275","$87,432,357","5,828,782,772 USDe",2024-12-15 10:30:10
28,Aave,AAVE,$362.63,-0.21%,-5.79%,"$5,444,453,105","$1,022,912,032","15,013,809 AAVE",2024-12-15 10:30:10
29,Dai,DAI,$0.9999,-0.00%,0.03%,"$5,364,928,150","$103,351,619","5,365,382,703 DAI",2024-12-15 10:30:10
30,POL (ex-MATIC),POL,$0.5941,0.70%,-3.78%,"$4,968,668,029","$235,145,289","8,362,819,230 POL",2024-12-15 10:30:10
31,Ethereum Classic,ETC,$32.70,0.25%,-2.82%,"$4,903,170,604","$364,536,002","149,952,131 ETC",2024-12-15 10:30:10
32,Cronos,CRO,$0.1773,0.83%,-3.65%,"$4,710,001,192","$36,929,152","26,571,560,696 CRO",2024-12-15 10:30:10
33,Render,RENDER,$9.01,0.70%,-2.69%,"$4,666,519,695","$434,728,234","517,690,759 RENDER",2024-12-15 10:30:10
34,VeChain,VET,$0.05625,0.77%,-4.39%,"$4,555,400,591","$103,173,730","80,985,041,177 VET",2024-12-15 10:30:10
35,Bitget Token,BGB,$3.03,1.17%,-4.03%,"$4,244,574,250","$201,089,852","1,400,000,000 BGB",2024-12-15 10:30:10
36,Artificial Superintelligence Alliance,FET,$1.70,0.62%,-4.69%,"$4,144,617,730","$284,676,538","2,436,109,048 FET",2024-12-15 10:30:10
37,Bittensor,TAO,$552.00,0.14%,-5.26%,"$4,074,262,744","$249,779,216","7,380,936 TAO",2024-12-15 10:30:10
38,Mantle,MNT,$1.21,0.56%,-2.70%,"$4,068,485,021","$109,987,645","3,366,841,708 MNT",2024-12-15 10:30:10
39,Arbitrum,ARB,$0.9779,0.78%,-5.21%,"$4,006,814,553","$492,497,863","4,097,359,817 ARB",2024-12-15 10:30:10
40,Filecoin,FIL,$6.49,1.26%,-3.38%,"$3,965,999,829","$296,551,712","611,213,256 FIL",2024-12-15 10:30:10
