Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
1,Bitcoin,BTC,"$102,725.97",-0.06%,1.21%,2.70%,"$2,032,975,995,530","$43,409,988,279","19,796,484 BTC",2024-12-15 17:15:10
2,Ethereum,ETH,"$3,888.84",-0.15%,0.26%,2.74%,"$468,293,058,304","$25,732,764,633","120,448,516 ETH",2024-12-15 17:15:10
3,Tether,USDT,$0.9996,-0.00%,-0.04%,0.11%,"$140,198,739,479","$102,448,690,657","140,253,672,849 USDT",2024-12-15 17:15:10
4,XRP,XRP,$2.41,-0.42%,0.64%,5.29%,"$137,991,482,785","$5,410,236,552","57,187,870,382 XRP",2024-12-15 17:15:10
5,Solana,SOL,$220.96,0.16%,-0.47%,6.93%,"$105,875,379,295","$3,000,251,843","479,153,269 SOL",2024-12-15 17:15:10
6,BNB,BNB,$716.90,-0.12%,0.34%,3.32%,"$103,239,838,037","$1,783,194,842","144,008,321 BNB",2024-12-15 17:15:10
7,Dogecoin,DOGE,$0.4027,-0.15%,1.64%,12.87%,"$59,275,124,932","$2,865,305,858","147,212,146,384 DOGE",2024-12-15 17:15:10
8,USDC,USDC,$1.00,0.01%,0.02%,0.00%,"$42,009,898,409","$6,331,562,550","42,007,610,005 USDC",2024-12-15 17:15:10
9,Cardano,ADA,$1.09,-0.13%,0.88%,8.86%,"$38,114,795,238","$984,086,666","35,112,728,715 ADA",2024-12-15 17:15:10
10,TRON,TRX,$0.2847,-0.16%,0.82%,10.38%,"$24,557,009,325","$848,360,877","86,242,599,571 TRX",2024-12-15 17:15:10
11,Avalanche,AVAX,$50.39,-0.94%,-1.67%,3.73%,"$20,643,299,487","$692,405,956","409,696,373 AVAX",2024-12-15 17:15:10
12,Chainlink,LINK,$29.17,1.08%,-3.72%,11.34%,"$18,286,934,074","$1,576,335,300","626,849,970 LINK",2024-12-15 17:15:10
13,Shiba Inu,SHIB,$0.00002777,-0.33%,1.21%,13.48%,"$16,361,480,656","$601,637,087","589,255,537,568,775 SHIB",2024-12-15 17:15:10
14,Toncoin,TON,$6.35,0.20%,3.03%,5.98%,"$16,199,759,285","$210,922,118","2,551,150,020 TON",2024-12-15 17:15:10
