Job Title,Company Name,Company Location,Job Posted,Job Time,Job Place,Job Experience,Job Description
Python Developer,Digizilla -,"Nasr City, Cairo, Egypt",7 days ago,Full Time,On-site,Full Time,"['Full Time', 'On-site']"
Senior Python Django Developer,Money Loop  -,"New Cairo, Cairo, Egypt",9 days ago,Full Time,Hybrid,· 8 - 15 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Operations/Management', '· Engineering - Telecom/Technology', 'Python Django', '· Continues Integration (CI)', '· Continuous Delivery (CD)', '· DevOps', '· Github Actions', '· Docker', '· Oracle Cloud Infrastructure (OCI)']"
Senior Python Developer,"Nile Bits, LLC -","6th of October, Giza, Egypt",20 days ago,Full Time,Remote,· 3 - 10 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· AWS', '· APIs', '· RESTful', 'Python', '· Software Engineering', '· Computer Science', '· Design', '· Git']"
Senior Python Developer,TechJump -,"Alexandria, Egypt",22 days ago,Full Time,Hybrid,· 2 - 6 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Computer Science', '· Engineering', '· Information Technology (IT)', '· Software Development', 'Python', '· Django']"
DAZU Pay - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt",25 days ago,Full Time,Hybrid,· 2+ Yrs of Exp,"['Entry Level', '· IT/Software Development', '· Engineering - Telecom/Technology', 'Python', '· Django', '· Flask', 'Python Scripting', '· Web Scraping', '· WWeb Scraping', '· CI', '· Computer Science']"
Python/Django Developer,Codereels -,"Cairo, Egypt",1 month ago,Freelance / Project,Remote,· 2+ Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· developer', '· Django', '· Django Developer', '· Information Technology (IT)', '· Software Development', '· Computer Science', '· Remote', 'Python']"
Python Developer,Afaqy -,"Maadi, Cairo, Egypt",1 month ago,Full Time,Hybrid,· 1 - 3 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Computer Science', '· Software Development', 'Python']"
BackEnd Developer Intern Python & Nodejs,Visionare -,"Smouha, Alexandria, Egypt",1 month ago,Internship,Remote,· 0 - 1 Yrs of Exp,"['Student', '· IT/Software Development', '· Software Development Intern', '· C#', '· Node.js', '· Payment Processing Integration', '· ERP Integration', '· Startup Support', '· Internship', '· Software Engineering']"
Python Developer,ESLSCA University -,"Giza, Egypt",2 months ago,Full Time,On-site,· 4 - 7 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Education/Teaching', '· JavaScript', '· Software', '· Computer Engineering', '· Computer Science', 'Python', '· Software Development', '· Information Technology (IT)']"
Data Analyst,Mobility Pro DMCC -,"Azarita, Alexandria, Egypt",3 days ago,Full Time,On-site,· 2 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Analyst/Research', '· Data Analysis', '· Data Science', '· Microsoft Excel', '· Power BI', '· SQL', 'Python', '· Statistics', '· Machine Learning']"
Senior Full Stack Developer,Palm Outsourcing -,"London, United Kingdom",3 days ago,Full Time,Remote,· 5 - 10 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Laravel', '· PHP', '· JavaScript', '· Computer Science', '· Software Development', '· React', '· front-end', '· back-end', '· Agile']"
coding,Hikal Marketing Management -,"New Cairo, Cairo, Egypt",4 days ago,Full Time,On-site,· 3 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· coding', '· Information Technology (IT)', '· Java', '· Programming', 'Python', '· Software Development']"
Cloud Infrastructure Engineer,EXALT Technologies  -,"Sheraton, Cairo, Egypt",4 days ago,Full Time,Hybrid,· 2 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Agile', '· Cloud', '· Computer Engineering', '· Computer Science', '· Design', '· DevOps', '· Engineering', '· Information Technology (IT)']"
CI/CD Engineer,EXALT Technologies  -,"Sheraton, Cairo, Egypt",4 days ago,Full Time,Hybrid,· 2 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· AWS', '· CD', '· CI', '· CI/CD', '· Computer Science', '· DevOps', '· Docker', '· Git']"
Application Deployment and Release Management Engineer,ICONIC IT CONSULTING SERVICES -,"Cairo, Egypt",4 days ago,Full Time,Remote,· 8 - 10 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Other', 'Python', '· Java', '· Deployment', '· SDLC', '· Software Development', '· Software Engineering', '· DevOps', '· CI/CD']"
