Champion Ship Title,Team A,Score,Team B,Time
الدوري المصري,سيراميكا كليوباترا,4 - 1,مودرن سبورت,17:00
الدوري المصري,زد,2 - 0,حرس الحدود,17:00
الدوري المصري,الاتحاد السكندري,0 - 1,طلائع الجيش,20:00
الدوري الإنجليزي,كريستال بالاس,1 - 1,نيوكاسل,17:00
الدوري الإنجليزي,برينتفورد,4 - 1,ليستر سيتي,17:00
الدوري الإنجليزي,وولفرهامبتون,2 - 4,بورنموث,17:00
الدوري الإنجليزي,نوتينجهام فورست,1 - 0,إيبسويتش تاون,17:00
الدوري الإنجليزي,وست هام يونايتد,2 - 5,أرسنال,19:30
الدوري الإسباني,برشلونة,1 - 2,لاس بالماس,15:00
الدوري الإسباني,ألافيس,1 - 1,ديبورتيفو ليجانيس,17:15
الدوري الإسباني,اسبانيول,3 - 1,سيلتا فيجو,19:30
الدوري الإسباني,بلد الوليد,0 - 5,اتلتيكو مدريد,22:00
الدوري الألماني,يونيون برلين,1 - 2,باير ليفركوزن,16:30
الدوري الألماني,فيردر بريمن,2 - 2,شتوتجارت,16:30
الدوري الألماني,لايبزيج,1 - 5,فولفسبورج,16:30
الدوري الألماني,أوجسبورج,1 - 0,بوخوم,16:30
الدوري الألماني,فرايبورج,3 - 1,مونشنجلادباخ,16:30
الدوري الألماني,بروسيا دورتموند,1 - 1,بايرن ميونيخ,19:30
كأس السوبر المصري البحريني لكرة السلة,الأهلي,88 - 82,الأهلي البحريني,16:30
كأس السوبر المصري البحريني لكرة السلة,الاتحاد السكندري,77 - 63,نادي المنامة,18:30
الدوري الفرنسي,رين,5 - 0,سانت اتيان,18:00
الدوري الفرنسي,بريست,3 - 1,ستراسبورج,20:00
الدوري الفرنسي,باريس سان جيرمان,1 - 1,نانت,22:00
الدوري الإيطالي,كومو,1 - 1,مونزا,16:00
الدوري الإيطالي,ميلان,3 - 0,إمبولي,19:00
الدوري الإيطالي,بولونيا,3 - 0,فينيزيا,21:45
الدوري السعودي,الرائد,0 - 1,التعاون,15:20
الدوري السعودي,الاتفـــــاق,0 - 4,الاتحاد,16:25
الدوري السعودي,الشباب,1 - 2,الهلال,19:00
الدوري التركي,سامسون سبور,4 - 0,بودرامسبور,12:30
الدوري التركي,أضنة دمير سبور,0 - 1,قونيا سبور,15:00
الدوري التركي,ألانيا سبور,2 - 1,طرابزون سبور,18:00
الدوري التركي,إسطنبول باشاكشهير,4 - 1,جوزتيبي,18:00
الدوري البرتغالي,ريو آفي,3 - 2,موريرنسي,17:30
الدوري البرتغالي,ناسيونال ماديرا,0 - 0,بوافيستا,20:00
الدوري البرتغالي,سبورتينج لشبونة,0 - 1,سانتا كلارا,22:30
الدوري المغربي,الشباب الرياضي السالمي,0 - 3,الجيش الملكي,17:00
الدوري المغربي,النادي المكناسي,1 - 1,شباب المحمدية,19:00
الدوري المغربي,المغرب التطواني,0 - 2,الفتح الرباطي,21:00
الدوري التونسي,اتحاد تطاوين,1 - 0,الأولمبي الباجي,15:00
الدوري التونسي,الملعب التونسي,1 - 0,الافريقي التونسي,15:00
الدوري التونسي,النجم الساحلى,2 - 0,فابيس,15:00
الدوري التونسي,البنزرتي,0 - 1,إتحاد بن قردان,15:00
