ChampionShip Title,Match Tour,Team A,Score A,Time,Score B,Team B,Match Status,Match Channel
الدوري المصري,الجولة الرابعة,البنك الاهلي,0,17:00,0,الأهلي,انتهت,Ontime sports 1
الدوري المصري,الجولة الرابعة,سموحة,0,20:00,0,الجونة,الشوط الأول,Ontime sports 1
الدوري المصري,الجولة الرابعة,إنبي,0,20:00,0,الإسماعيلي,الشوط الأول,Ontime sports 2
الدوري الإنجليزي,الأسبوع الثالث عشر,توتنهام هوتسبر,1,15:30,1,فولهام,انتهت,بى ان سبورت اكسترا 1
الدوري الإنجليزي,الأسبوع الثالث عشر,مانشستر يونايتد,4,15:30,0,ايفرتون,انتهت,بى ان سبورت 1HD
الدوري الإنجليزي,الأسبوع الثالث عشر,تشيلسي,3,15:30,0,أستون فيلا,انتهت,بى ان سبورت 2 HD
الدوري الإنجليزي,الأسبوع الثالث عشر,ليفربول,2,18:00,0,مانشستر سيتي,انتهت,بى ان سبورت 1HD
الدوري الإسباني,الأسبوع الخامس عشر,فياريال,2,15:00,2,جيرونا,انتهت,بى ان سبورت 3 HD
الدوري الإسباني,الأسبوع الخامس عشر,ريال مدريد,2,17:15,0,خيتافي,انتهت,بى ان سبورت 3 HD
الدوري الإسباني,الأسبوع الخامس عشر,رايو فاييكانو,1,19:30,0,أتلتيك بلباو,الشوط الأول,بى ان سبورت 3 HD
الدوري الإسباني,الأسبوع الخامس عشر,ريال سوسيداد,-,22:00,-,ريال بيتيس,لم تبدأ,بى ان سبورت 3 HD
الدوري الألماني,الأسبوع الثاني عشر,ماينز,2,16:30,0,هوفنهايم,انتهت,بى ان سبورت 5 HD
الدوري الألماني,الأسبوع الثاني عشر,هايدنهايم,0,18:30,3,آ. فرانكفورت,الشوط الثاني,بى ان سبورت 4 HD
دوري القسم الثاني-أ,الأسبوع  العاشر,طنطا‏,3,14:30,0,سبورتنج,انتهت,
دوري القسم الثاني-أ,الأسبوع  العاشر,المنصورة,0,14:30,0,بلدية المحلة,انتهت,Ontime sports 2
دوري القسم الثاني-أ,الأسبوع  العاشر,بروكسي,3,14:30,2,كهرباء الإسماعيلية,انتهت,
الدوري الفرنسي,الأسبوع الثالث عشر,مونبيليه,2,16:00,2,ليل,انتهت,بى ان سبورت 4 HD
الدوري الفرنسي,الأسبوع الثالث عشر,لوهافر,0,18:00,1,أنجيه,انتهت,بى ان سبورت اكسترا 2
الدوري الفرنسي,الأسبوع الثالث عشر,تولوز,2,18:00,0,اوكسير,انتهت,بى ان سبورت اكسترا 1
الدوري الفرنسي,الأسبوع الثالث عشر,ليون,4,18:00,1,نيس,انتهت,بى ان سبورت 2 HD
الدوري الفرنسي,الأسبوع الثالث عشر,مارسيليا,-,21:45,-,موناكو,لم تبدأ,بى ان سبورت 4 HD
الدوري الإيطالي,الأسبوع الرابع عشر,أودينيزي,0,13:30,2,جنوى,انتهت,
الدوري الإيطالي,الأسبوع الرابع عشر,تورينو,0,16:00,1,نابولي,انتهت,
الدوري الإيطالي,الأسبوع الرابع عشر,بارما,3,16:00,1,لاتسيو,انتهت,
الدوري الإيطالي,الأسبوع الرابع عشر,فيورنتينا,0,19:00,0,إنتر ميلان,انتهت,
الدوري الإيطالي,الأسبوع الرابع عشر,ليتشي,-,21:45,-,يوفنتوس,لم تبدأ,
الدوري التركي,الأسبوع الرابع عشر,ريزه سبور,3,15:00,0,قيصري سبور,انتهت,
الدوري التركي,الأسبوع الرابع عشر,جالاتا سراي,2,18:00,2,ايوبسبور,الشوط الثاني,
الدوري البرتغالي,الأسبوع الثاني عشر,إستوريل,2,17:30,1,فاماليكاو,انتهت,
الدوري البرتغالي,الأسبوع الثاني عشر,أروكا,0,20:00,0,بنفيكا,الشوط الأول,
الدوري البرتغالي,الأسبوع الثاني عشر,اي في اس فوتبول,-,22:30,-,سبورتينج براجا,لم تبدأ,
الدوري المغربي,الأسبوع الثاني عشر,حسنية اغادير,1,17:00,3,الرجاء البيضاوي,انتهت,
الدوري المغربي,الأسبوع الثاني عشر,الدفاع الجديدي,0,19:00,1,نهضة بركان,استراحة,
الدوري المغربي,الأسبوع الثاني عشر,المغرب الفاسي,-,21:00,-,نهضة الزمامرة,لم تبدأ,
الدوري التونسي,الأسبوع العاشر,الإتحاد المنستيري,0,15:00,0,الترجي الجرجيسي,انتهت,
الدوري التونسي,الأسبوع العاشر,النجم الرياضي بالمتلوي,2,15:00,1,قوافل قفصة,انتهت,
الدوري التونسي,الأسبوع العاشر,سليمان الرياضي,1,15:00,4,الصفاقســــي,انتهت,
الدوري التونسي,الأسبوع العاشر,الترجى الرياضي,2,17:30,0,شبيبة العمران,انتهت,
